snort1,snort2,snort3,snort4







0,0,0,
244,2954,279,2333,
150,3041,129,2771,
199,2969,115,2168,
297,3254,370,66,
624,3677,211,73,
3544,3002,335,39,
3110,202,3190,24,
4056,209,3440,67,
2976,106,3713,50,
2781,188,2631,81,
3835,224,3609,134,
2944,190,3337,111,
2823,85,2826,72,
3764,256,3622,107,
2057,219,2827,237,
147,189,2785,47,
118,364,1808,82,
3299,120,3643,95,
2992,103,3293,120,
3038,184,3318,71,
3708,202,3368,89,
3565,108,3374,38,
2973,192,3240,86,
2943,126,3282,94,
2958,167,3331,79,
3274,169,3159,47,
3555,386,492,53,
92,3283,2143,67,
171,4064,2955,34,
128,2917,3736,21,
145,3017,3526,11,
169,2950,3313,31,
173,3265,3051,6,
153,3620,3274,20,
109,3348,3480,142,
149,2904,3086,49,
92,2482,3475,23,
403,59,5000,29,
2507,110,2958,32,
3590,222,1612,130,
3335,122,138,85,
3031,49,39,35,
1750,35,176,16,
2,16,8,6,
4,16,7,6,
1,5,3,1,
9,24,25,10,
5,3,3,1,
4,7,2,4,
3,3,7,3,
1,2,2,2,
