snort1,snort2,snort3,snort4






0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
1226,823,962,1946,
1120,852,1047,2250,
1242,1001,889,1823,
2060,989,1181,1965,
2432,861,861,1839,
2104,712,778,1632,
1833,833,1029,1561,
1671,656,943,1402,
2040,658,560,1533,
2083,657,454,1493,
1908,743,862,1239,
1970,988,2080,1202,
2044,650,1686,622,
1324,700,1783,757,
1477,811,1424,820,
1520,859,1214,656,
1478,837,2047,819,
1513,1224,1361,1025,
1748,750,1847,1038,
937,116,1006,217,
1552,515,1540,1215,
2211,609,1118,1739,
1197,113,72,1002,
2075,843,636,1557,
1736,627,669,1491,
1638,984,858,1659,
2024,863,735,1534,
777,60,60,911,
1515,736,829,1860,
1827,1042,829,1866,
2026,1387,1134,1572,
1963,2086,1067,1015,
1357,1711,903,1369,
1033,1796,926,1721,
1160,1815,620,1550,
828,1748,878,1791,
1119,1591,781,1796,
1037,1927,761,1570,
856,1815,731,1679,
1162,1425,688,1726,
778,1394,623,2229,
778,884,726,2604,
674,651,1255,1547,
923,944,1850,1751,
872,653,1801,1963,
767,890,1839,2016,
727,896,1644,2066,
558,855,1626,2072,
854,901,1665,1860,
945,1305,2532,2591,
725,1001,1642,2048,
676,770,1416,1773,
738,1870,1423,1796,
949,2090,842,1647,
797,2041,653,1074,
740,1916,729,1693,
803,1721,681,1298,
1221,2023,888,1792,
990,1851,745,1894,
955,1672,825,2122,
906,3058,651,791,
947,2136,1557,704,
276,863,1075,213,
0,24,4,1,
312,1313,1720,346,
551,1788,1669,803,
711,1366,1687,822,
672,1652,1668,670,
436,1722,1904,590,
173,1060,1086,232,
735,1939,1719,1061,
792,1176,1796,1609,
604,1004,1620,1601,
1796,900,975,1773,
1302,108,207,946,
1896,1025,702,1501,
1432,666,540,1702,
1781,1051,884,1584,
1960,1273,1917,2856,
1705,842,1062,2199,
1740,956,1212,1903,
2073,815,699,2138,
2112,764,943,1662,
1869,816,827,1433,
1524,585,641,1342,
1891,662,613,1978,
1910,765,790,1419,
1608,807,999,1575,
17,82,49,25,
1206,578,465,1059,
1767,583,751,1654,
1658,808,923,1907,
1835,1960,679,876,
1933,1718,903,964,
891,1743,819,1765,
904,1899,716,1330,
158,977,191,992,
1265,1839,783,1669,
785,1700,671,1335,
1256,1578,650,1389,
394,2042,704,1642,
1003,1742,709,1346,
307,480,748,780,
595,423,1276,1423,
1298,3493,3355,2374,
1056,1774,1443,1036,
893,1582,1368,687,
768,1562,1875,909,
1466,2251,2038,1717,
738,2327,2433,1283,
778,1979,1851,1033,
848,2098,1975,1086,
1217,2032,2160,1238,
702,2138,1817,1578,
641,1115,2010,1961,
715,1143,1983,1685,
734,836,2252,2178,
898,819,2489,2382,
955,985,1758,2079,
1023,1002,1636,2004,
1020,1027,2057,2458,
873,1152,1857,1622,
2254,999,1063,1922,
1911,999,1473,1828,
2140,1066,2033,1259,
1658,1186,2146,956,
1638,1036,2023,771,
1810,1162,1597,843,
1698,1134,2109,1055,
1589,927,2126,1393,
1865,964,1813,1196,
1789,1080,1913,809,
1330,868,1976,2045,
716,852,2268,2188,
1229,1178,1961,1826,
735,1107,2136,2302,
493,1303,1997,1944,
798,1164,1788,2118,
865,944,1825,2237,
770,976,1892,2141,
1373,811,2116,1829,
627,376,1240,1168,
676,1520,1301,756,
129,779,361,93,
776,2266,768,842,
653,2514,343,343,
354,1641,276,293,
1008,2352,619,477,
868,1979,735,685,
735,2747,870,783,
696,2147,673,661,
1277,2539,891,678,
1014,2515,600,1522,
788,1359,348,1498,
937,1189,1436,2225,
835,747,1760,1895,
78,78,789,761,
734,655,1608,2132,
336,282,1220,1239,
992,719,1624,2080,
607,649,2016,2606,
675,786,1815,1813,
689,1039,1575,1652,
979,2297,1928,613,
970,1835,1857,646,
1074,1433,1802,693,
1689,1659,2081,1419,
1056,2323,2107,1062,
1383,1563,1684,771,
1028,2077,1852,908,
1114,2077,2247,670,
121,840,496,107,
986,1227,1097,640,
1131,1299,1353,790,
2438,3735,2843,1770,
1195,2742,1153,2106,
292,704,205,798,
805,2137,983,1723,
945,1931,898,1793,
1143,1906,1086,1605,
82,72,81,1064,
0,0,0,834,
0,0,1,123,
0,0,0,0,
0,0,0,0,
