snort1,snort2,snort3,snort4




0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
1057,1983,832,1578,
1510,3119,842,939,
3218,1485,683,732,
2613,870,1635,924,
1546,945,2279,1475,
1932,1558,1166,1365,
2665,1775,938,887,
2529,929,840,1952,
3121,951,756,1485,
1574,1663,1837,853,
1025,1169,1951,1854,
12,569,20,922,
0,0,0,0,
1947,1009,1573,1265,
904,2923,775,1640,
1349,2622,973,836,
2179,1569,841,1527,
1205,2318,808,1668,
724,1593,2247,1028,
945,1619,1849,1667,
1003,2967,973,1199,
45,1314,45,685,
1048,1056,760,1086,
2400,953,1821,1078,
2965,893,977,1369,
728,1029,1441,3150,
817,957,1549,2522,
1588,815,1407,1545,
1877,879,1432,1773,
3033,794,949,1021,
2121,945,834,1981,
1134,54,66,908,
1650,1693,777,661,
1291,1758,1921,907,
833,2162,783,1835,
2047,2077,904,652,
2235,712,806,1474,
1079,2078,594,757,
892,2326,751,1168,
1822,2010,830,1214,
1095,1871,1970,1083,
825,1071,1546,2302,
1181,817,1113,2565,
2049,1696,1208,1413,
1662,1305,1584,1178,
2139,667,779,1637,
2881,1412,948,814,
785,1512,1319,1948,
1063,1959,1468,1453,
2807,801,957,1253,
1209,1639,747,2004,
1247,1599,846,1668,
1563,1966,1344,889,
744,1466,1318,1747,
727,2327,2419,1172,
1231,1442,1690,1694,
1388,876,2163,1518,
584,547,1204,693,
1348,1126,468,317,
464,826,1,0,
702,1,0,1,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
