snort1,snort2,snort3,snort4




0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
288,372,1510,1062,
617,764,3797,3015,
480,721,4360,2750,
492,745,3660,2569,
500,702,4103,2685,
501,721,5660,1776,
488,689,5315,2010,
509,652,4489,2364,
475,653,2771,1903,
1157,563,3190,2242,
1641,363,1885,2040,
3652,690,787,1880,
2379,360,1030,769,
3152,368,1802,355,
3487,616,2254,592,
3555,395,1569,332,
1948,420,1763,1535,
808,308,987,1058,
633,298,1367,1053,
46,49,1215,571,
488,650,2247,2841,
614,692,2088,3801,
271,376,1707,2697,
339,304,1185,2837,
1692,671,2148,2797,
2049,697,1904,2523,
2180,185,180,2582,
3557,735,619,1443,
2577,375,339,946,
1993,293,368,865,
1237,280,305,575,
677,4,17,242,
577,0,0,179,
3737,634,766,2073,
2027,2007,327,1685,
3141,1885,692,1671,
3472,1802,317,278,
3498,2071,643,540,
3425,1939,332,231,
3729,2176,638,515,
4470,1447,776,483,
4751,357,334,296,
2160,3,6,979,
953,287,328,723,
1215,0,0,549,
2351,338,300,1377,
3717,560,640,2042,
2621,336,302,1450,
3741,658,684,2051,
1823,558,2073,2254,
1226,230,1580,2196,
610,628,1988,3446,
312,332,1677,2980,
626,627,2125,3611,
0,0,566,1324,
305,327,988,1743,
135,11,548,1317,
1405,382,318,2073,
1905,536,295,3113,
1571,1744,1374,1068,
1796,1983,1960,318,
2096,1984,2150,704,
1608,1740,1782,363,
2017,2349,2231,642,
269,1472,2546,381,
216,1247,3052,954,
1920,648,2229,2212,
2002,642,2008,1911,
1771,330,1679,1834,
2086,592,2143,1982,
2037,1866,1153,2261,
1749,2334,340,924,
591,1741,288,1033,
1107,3704,945,2333,
431,3253,304,1757,
401,1617,299,1004,
464,1735,300,1014,
33,1304,42,571,
350,1165,382,827,
0,956,0,304,
1875,2313,732,1761,
1531,1410,364,1505,
2090,842,639,2915,
1712,282,416,3280,
1817,318,321,3062,
2134,586,561,3532,
1664,323,397,2678,
693,348,346,828,
530,0,0,792,
858,350,312,1522,
1484,315,407,2271,
1468,345,2058,730,
1723,682,3376,721,
1739,289,3117,419,
1905,653,3384,838,
831,79,3898,102,
0,4,3540,247,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
