snort1,snort2,snort3,snort4


















0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
2110,5548,1525,2452,
1026,4604,1835,1614,
2091,5582,3097,2667,
1070,2673,1723,1083,
1200,3276,757,929,
2586,4832,2608,2549,
2515,5968,2403,2260,
2604,5375,3055,3045,
2734,4889,3127,2698,
2060,3579,1730,2379,
2037,2528,1814,2204,
1623,2511,1742,1886,
2512,1800,2514,1463,
2310,1632,1613,2196,
268,304,360,1146,
1114,1177,1103,1323,
1026,711,1029,1506,
1652,1620,1535,2103,
2114,2484,2291,5259,
2505,3034,2387,5729,
3554,3592,3385,6140,
1706,2186,2068,3608,
1873,2357,1454,3141,
1793,2943,1126,1800,
1841,3871,2191,1868,
463,1889,796,444,
1935,3447,2396,1830,
1745,3981,2028,2029,
1937,2619,2015,1660,
1289,2491,1320,753,
1950,2583,1530,2487,
1992,4397,2695,2939,
1993,4753,1874,2462,
2050,3575,2860,1144,
1868,1277,3580,1521,
1638,1352,3545,1838,
1590,1112,2759,1337,
1368,2129,2479,1947,
1712,2028,3675,1582,
1808,1686,3696,1727,
1333,1454,2643,1569,
1751,1882,2396,1838,
2107,2011,4105,2482,
2597,2092,4058,2841,
1769,2093,3212,1547,
1764,1768,3582,1888,
1864,2507,4223,2423,
1770,1405,3119,1819,
1716,2053,3445,1788,
1100,1784,4085,1397,
1957,1827,2405,1807,
1121,1221,2847,1479,
447,569,1529,476,
822,762,1523,667,
88,137,1453,21,
1733,1513,1219,1194,
2002,1721,4031,2507,
2352,2782,5660,3300,
926,1103,2374,929,
1503,1584,3037,1748,
1681,2484,3711,1574,
1282,1651,1963,1456,
1389,1878,3840,2064,
1929,1719,2483,2586,
1999,1359,1290,3343,
2006,1411,1849,3672,
1237,1698,1598,3273,
1671,1771,1799,2871,
2144,2697,2650,3712,
2014,1718,1966,3175,
1707,789,1494,1483,
1275,822,1070,4114,
1335,2050,1603,3215,
2371,1782,1329,1603,
3213,1720,1615,1378,
3494,1849,1872,1306,
3669,1628,1744,2094,
3342,1764,1723,2232,
2953,1834,2119,1909,
3300,1970,1741,2102,
2858,2055,1654,1979,
2373,1606,1392,1145,
1441,617,410,469,
2181,2065,2810,2192,
489,628,2140,515,
1693,1533,3486,1849,
1688,1284,2798,1438,
269,220,1262,188,
2173,2865,4272,2587,
519,659,1156,540,
1076,1142,1696,1615,
1870,1252,2984,2200,
1876,2204,4406,2538,
1773,2161,2381,3326,
2195,1752,1963,2807,
1691,1672,1343,3187,
1452,1627,1424,2988,
1236,1175,1610,2970,
1363,1997,1766,2931,
2055,2269,1934,4355,
2637,1943,2030,3268,
2265,1963,2840,3040,
528,421,1065,2710,
2038,2143,2748,3640,
1129,914,1132,2052,
1243,1025,985,2089,
2036,2097,1631,3858,
4054,3846,3709,7758,
1561,1906,1423,3762,
1995,1842,1908,2926,
1502,1383,1531,1996,
489,578,633,1892,
961,1192,1432,1762,
1157,551,670,753,
3640,1687,2476,2175,
4522,2272,3037,2802,
1938,1473,1528,896,
3136,1751,1835,1394,
2128,1320,1328,1630,
5591,2811,2186,2611,
2910,1605,1969,1583,
3493,1330,1576,1400,
3217,1796,1821,1991,
3171,1575,2370,1554,
1036,1609,2373,1197,
1471,1545,3232,1694,
1051,1052,1979,1135,
375,464,1191,490,
706,345,1884,529,
1477,1431,2558,1332,
1899,1285,2381,1929,
82,110,1160,93,
