snort1,snort2,snort3,snort4


0;0;0;0;
0;0;0;0;
0;0;0;0;
0;0;0;0;
53777;54463;0;53415;
98400;99136;0;94592;
97056;98624;0;95392;
97760;98432;0;95392;
98048;97728;0;93504;
96800;97344;0;94368;
97280;96960;0;92992;
96352;97536;0;93696;
96352;97856;0;93696;
96608;97600;0;94784;
96736;97536;0;95360;
96352;97920;0;93280;
96768;97376;0;93568;
96480;97472;0;93216;
96896;97024;0;92992;
96544;97664;0;93536;
96192;98176;0;93472;
95776;96792;46120;94880;
96960;96960;96960;96960;
96960;96960;96960;96960;
97152;97152;97152;97152;
96960;96960;96960;96960;
96896;96896;96896;96896;
96928;96960;96960;96896;
96896;96896;96896;96896;
96832;96832;96864;96896;
97024;97024;96960;96960;
96896;96960;96960;96960;
96960;96960;96960;96960;
96832;96896;96896;96896;
38569;38567;38606;38610;
0;0;0;0;
0;0;0;0;
0;0;0;0;
