snort1,snort2,snort3,snort4



0;0;0;0;
0;0;0;0;
0;0;0;0;
0;0;0;0;
0;0;0;0;
0;0;0;0;
0;48770;48916;47201;
0;98368;98240;93952;
0;97024;99232;93280;
0;98016;96800;93184;
0;96480;96672;91776;
0;96672;96640;92000;
0;96704;96512;92256;
0;96960;96448;92288;
0;96544;96544;92608;
0;97536;96128;91712;
0;97792;95488;92416;
0;96672;96864;92160;
0;97504;96192;91232;
0;96384;96768;93824;
0;96640;96544;92512;
0;95488;97856;93888;
0;95872;97344;90944;
0;97280;96128;92288;
0;96832;96672;93472;
0;96704;96480;92672;
0;97248;96544;93120;
0;96928;96544;92224;
82368;96096;95808;95328;
96576;96576;96576;96576;
96640;96640;96640;96640;
96576;96576;96576;96576;
96512;96512;96512;96512;
96640;96640;96640;96640;
96640;96640;96640;96672;
96640;96640;96608;96576;
96640;96640;96640;96640;
96576;96576;96576;96576;
96640;96640;96640;96576;
96576;96576;96576;96576;
96640;96640;96640;96640;
96640;96640;96640;96640;
96576;96576;96608;96640;
96640;96608;96576;96576;
12064;12094;12044;12095;
0;0;0;0;
0;0;0;0;
0;0;0;0;
