snort1,snort2,snort3,snort4




0,0,0,
24634,6924,32578,21541,
30655,14779,26123,14126,
22132,14990,16741,31733,
9310,11951,59244,5171,
2979,29912,29953,22820,
1056,15101,33198,36319,
13538,49527,3552,19057,
15263,28321,4133,37900,
19688,20239,19421,15793,
24241,19612,23444,18351,
28919,19973,25820,10958,
21932,21786,28398,13555,
35216,46279,1636,2528,
16440,48792,18863,1547,
22631,5342,41378,16331,
5372,18410,13095,48795,
9260,31029,14600,20223,
2756,2823,39265,40846,
19806,31747,12953,21153,
44141,4443,35933,1153,
14292,17017,17257,37100,
20683,29081,7083,28833,
41055,18288,3297,22982,
21245,28307,2128,33970,
46947,6214,31025,1490,
31826,3203,4568,29439,
21709,12585,29059,22292,
13929,39042,8765,23916,
36575,17129,14352,17605,
18257,13510,49916,3993,
2903,12786,26791,43153,
38245,3879,30268,13258,
18375,29734,16870,20653,
33077,5321,17785,29471,
15337,41469,26877,1972,
33200,22177,29425,882,
973,40739,40870,3069,
1264,4710,49564,30138,
17789,5773,20367,31219,
32221,16969,15356,21096,
47339,34449,2010,1830,
34232,23527,5394,22546,
29248,33611,1781,21019,
48018,9497,2586,25561,
3726,49203,29840,2924,
7001,36354,3686,38600,
43514,18931,19421,3806,
24545,33790,23768,3544,
9500,30857,34313,11017,
2609,3088,31215,38192,
32526,22212,20140,10804,
9055,7304,40573,28742,
8188,25448,21251,29341,
16360,25354,3070,40227,
20554,1860,46498,16766,
17097,39122,11286,18138,
33422,51218,439,547,
56946,40088,1006,21040,
16884,1922,31924,34940,
2087,34957,11902,36689,
32888,38471,4300,9990,
16323,29879,18620,20783,
2294,32334,16508,34425,
51518,19642,1995,12518,
2972,51128,12885,18673,
2704,32660,33782,16548,
38582,16378,2312,28377,
46835,15900,6313,16558,
31285,28981,1888,23560,
12012,32147,22262,19200,
21264,32015,29994,2355,
8578,24977,21915,30143,
34914,20264,981,29520,
8948,14225,47631,14874,
25478,26782,1114,32285,
22071,5740,28008,29851,
19125,17009,31066,18487,
41281,12443,16656,15267,
32793,468,15352,37049,
22031,2724,30842,30073,
35369,13732,17981,18581,
13315,44109,9821,18383,
41975,29624,12339,1716,
14769,26680,16756,27470,
12885,28052,7436,37279,
36216,3571,19009,26808,
51413,16008,14000,4258,
23085,10821,39635,12134,
12995,38045,19201,4848,
41576,28585,11672,3770,
17436,6385,41357,20455,
7472,19326,24083,34807,
5229,13401,30960,36030,
4420,13235,31613,36405,
12391,32899,20739,19647,
4240,20390,32727,28304,
45629,22094,5966,11961,
19662,18504,18238,2118,
19628,28566,14487,22989,
15167,29508,17335,23654,
57571,22293,4350,1433,
33285,36305,2530,13562,
889,21133,50882,12769,
37376,21676,14019,12603,
58484,14776,3826,8547,
47350,11962,1925,24427,
41299,885,25154,18329,
4630,31447,37410,12176,
19470,3565,28975,33615,
15627,17418,31992,20641,
542,12652,33820,38661,
32130,35163,977,17372,
13817,31193,36957,3698,
14434,18211,33510,19525,
21575,33441,16614,14025,
30639,31012,10802,13200,
12176,23587,29981,19929,
26233,36683,20178,2592,
47171,31210,2460,4806,
18749,3370,5815,57719,
56062,13304,12274,4012,
46331,17594,2902,18848,
30318,29163,4969,21227,
69340,2885,5052,8390,
1821,3500,57281,23030,
30576,1504,21232,32365,
23567,21935,27114,13064,
938,31769,37652,15326,
17217,26915,36384,5111,
11207,31885,16275,26324,
63742,2431,1895,17562,
47147,554,4399,33567,
17623,29038,32854,6154,
45056,22994,3116,14486,
22819,10896,39261,12624,
12759,2526,32711,37679,
466,17861,43779,23558,
1112,15148,36166,33230,
46826,23479,9376,5927,
40847,12254,15654,16921,
2533,20807,30164,32145,
3166,19701,29591,33223,
2172,21080,15859,46564,
13296,23092,18526,30719,
17016,28510,28557,11574,
26409,17122,12866,29278,
616,1452,574,13924,
0,0,0,0,
0,0,0,0,
