snort1,snort2,snort3,snort4






0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
11350,2653,7488,1212,
13999,14869,9224,4730,
4446,24645,7736,6010,
16313,12630,11654,2248,
6777,1316,19205,15507,
21717,9591,1584,9968,
4102,17390,2234,19093,
3366,30603,2461,6383,
3719,23628,5927,9589,
4285,7520,3961,27042,
8947,16122,3203,14591,
21297,5376,6183,9968,
7376,14071,4484,16886,
2786,21086,7905,11079,
3755,5126,16378,17548,
5416,3104,15222,19085,
12584,9558,16967,3745,
3420,15431,8237,15723,
8056,9946,2144,22718,
1820,28024,2165,10801,
6967,14774,3125,17953,
16858,1365,11935,12700,
11988,13236,4606,12976,
13369,9287,13332,6841,
2629,3824,27079,9317,
2836,3105,5134,31743,
1728,11272,15273,14584,
2865,8695,10389,20855,
3451,14932,19233,5221,
25751,3596,12059,1439,
16312,1547,13480,11471,
13726,14502,3975,10624,
27181,9576,11784,8029,
23537,6889,4654,7729,
14637,2883,8367,16969,
4131,25024,2581,11078,
13978,9503,15550,3802,
23877,2749,7750,8477,
4362,14391,17736,6316,
13899,6701,10734,11496,
5854,5353,14029,17611,
1822,11905,14847,14231,
2817,19218,18428,2387,
2121,8083,9379,23243,
4344,7983,16997,13485,
2085,2257,14535,23992,
5127,2439,3157,32087,
8088,9494,2712,22552,
3053,28185,2879,8719,
2615,19297,6330,14568,
3098,2508,17114,20152,
2433,12033,18971,9370,
7655,20762,2998,11409,
2968,9085,10077,20720,
10779,4033,1850,26145,
11678,6854,2860,21434,
7224,4619,14820,16185,
9998,16435,14438,1937,
8008,22635,3161,9066,
10324,21339,8853,2290,
2055,6475,19122,15176,
17513,8866,14995,1476,
9919,2502,21118,9271,
14682,3543,21905,2689,
26551,2758,8091,5453,
15833,3328,12569,11092,
26897,5463,4435,6048,
12008,5813,22567,2429,
16350,4310,20808,1345,
8428,20490,10823,3126,
18472,2107,9325,12906,
8107,9041,21406,4262,
1380,10966,12152,18366,
7529,13742,8172,13366,
20367,3603,9681,9175,
19733,3106,13888,6121,
3438,17409,14754,7208,
31628,4703,1668,4828,
36655,1487,2680,2028,
18786,6608,4400,13020,
10145,6995,21749,3967,
10647,10355,2113,19689,
18069,15406,3276,6069,
15544,2059,9964,15289,
5829,1943,16801,18234,
1804,6308,10723,24014,
9644,5031,4072,24078,
8507,3370,13322,17613,
8206,3488,21495,9664,
8211,3670,29694,1243,
7481,9176,12720,13440,
7349,23183,8892,3439,
13713,5785,2939,20368,
7823,9714,18614,6671,
21794,3149,4004,13907,
4388,12555,6446,19423,
29002,10436,1752,1641,
8755,16083,1808,16198,
9931,9135,16476,7277,
21008,10535,1946,9358,
25598,6262,2930,8009,
18490,3547,1694,19093,
26072,9429,1613,5745,
16722,19344,1994,4742,
11013,4050,2241,25566,
9176,23484,2717,7427,
4399,2793,6126,29491,
5992,19027,3646,14201,
5294,8561,14223,14741,
14337,6484,14119,7887,
4131,11832,13263,13628,
2591,25361,1969,12888,
4072,16513,17877,4405,
6734,2456,14231,19386,
12449,7134,9555,13680,
23776,2708,10223,6148,
9990,2795,5708,24311,
18274,2593,18844,3158,
8620,6102,21232,6852,
16889,18707,4839,2385,
21093,15383,1660,4725,
20629,14490,6916,777,
11765,16443,11962,2662,
4396,17291,13009,8145,
5066,26959,2397,8390,
18430,10457,10445,3510,
2740,30518,4174,5405,
10042,8905,1618,22270,
7555,7942,2510,24837,
6053,9368,25002,2382,
1441,12223,21944,7255,
3261,6809,6605,26141,
23427,1724,3485,14183,
14775,3493,11301,13289,
5049,11284,8845,17630,
1331,7962,2225,699,
0,0,0,0,
0,0,0,0,
0,0,0,0,
